task,complexity,mode,run,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_cost_usd,num_turns,duration_ms,duration_s,is_error,error
daily_briefing,complex,cli,1,14,1184,11776,246192,0.226841,9,49672,51.73,False,
daily_briefing,complex,cli,2,14,1153,11707,246128,0.22559275,9,61400,63.44,False,
daily_briefing,complex,cli,3,14,1152,11770,246103,0.225954,9,56543,58.59,False,
daily_briefing,complex,mcp,1,14,561,20736,67539,0.1779295,4,15620,18.62,False,
daily_briefing,complex,mcp,2,14,564,20569,67729,0.17706575,4,14311,17.16,False,
daily_briefing,complex,mcp,3,14,598,20572,67727,0.1779235,4,14691,17.82,False,
user_me,trivial,cli_guided,1,7,161,9296,45938,0.085556,2,20006,22.21,False,
user_me,trivial,cli_guided,2,7,166,9290,45936,0.0856275,2,19106,20.98,False,
user_me,trivial,cli_guided,3,7,157,9292,45938,0.085416,2,19758,21.96,False,
calendar_today,simple,cli_guided,1,7,191,9175,45954,0.08558475,2,19391,21.38,False,
calendar_today,simple,cli_guided,2,7,198,9183,45958,0.0858117499999999,2,22012,24.11,False,
calendar_today,simple,cli_guided,3,7,191,9175,45954,0.08558475,2,19124,21.2,False,
mail_recent,simple,cli_guided,1,7,218,9410,45949,0.08769,2,19401,21.32,False,
mail_recent,simple,cli_guided,2,10,972,12654,129828,0.1687745,5,52179,54.16,False,
mail_recent,simple,cli_guided,3,7,252,9408,45949,0.0885224999999999,2,20818,23.25,False,
mail_search,medium,cli_guided,1,8,395,12504,73848,0.125438,3,24894,26.89,False,
mail_search,medium,cli_guided,2,8,374,12483,73826,0.12476575,3,24873,27.07,False,
mail_search,medium,cli_guided,3,8,377,12480,73822,0.124825,3,28039,30.13,False,
calendar_free_slot,medium,cli_guided,1,7,259,9277,45975,0.08794975,2,18053,19.96,False,
calendar_free_slot,medium,cli_guided,2,7,265,9289,45979,0.08817675,2,20940,22.78,False,
calendar_free_slot,medium,cli_guided,3,7,254,9278,45977,0.087832,2,18522,20.36,False,
chat_search_read,medium,cli_guided,1,8,389,10292,73788,0.111454,3,24308,26.38,False,
chat_search_read,medium,cli_guided,2,8,398,10302,73797,0.1117459999999999,3,25472,27.2,False,
chat_search_read,medium,cli_guided,3,8,393,10308,73807,0.1116685,3,24951,26.92,False,
daily_briefing,complex,cli_guided,1,9,603,10123,101950,0.12982875,4,30999,32.99,False,
daily_briefing,complex,cli_guided,2,9,598,10112,101937,0.1296284999999999,4,29673,31.84,False,
daily_briefing,complex,cli_guided,3,9,564,10085,101885,0.12858875,4,31222,33.18,False,
user_me,trivial,mcp_guided,1,13,224,20681,45457,0.15807675,3,7469,10.39,False,
user_me,trivial,mcp_guided,2,13,219,20668,45448,0.157846,3,8263,11.12,False,
user_me,trivial,mcp_guided,3,13,222,20679,45455,0.15799325,3,8220,11.1,False,
calendar_today,simple,mcp_guided,1,13,292,20860,45706,0.161047,3,8658,11.51,False,
calendar_today,simple,mcp_guided,2,13,300,20864,45710,0.161269,3,9696,12.55,False,
calendar_today,simple,mcp_guided,3,13,297,20861,45707,0.1611787499999999,3,7492,10.31,False,
mail_recent,simple,mcp_guided,1,13,316,20981,45603,0.16231575,3,9136,12.2,False,
mail_recent,simple,mcp_guided,2,13,312,20974,45598,0.1621744999999999,3,7914,10.84,False,
mail_recent,simple,mcp_guided,3,13,310,20974,45598,0.1621195,3,8943,11.81,False,
mail_search,medium,mcp_guided,1,13,346,23670,45578,0.1798905,3,10746,13.57,False,
mail_search,medium,mcp_guided,2,13,340,22251,45581,0.17087325,3,8525,11.45,False,
mail_search,medium,mcp_guided,3,13,340,22242,45576,0.1708095,3,8306,11.58,False,
calendar_free_slot,medium,mcp_guided,1,13,349,20905,45661,0.16274775,3,8983,11.92,False,
calendar_free_slot,medium,mcp_guided,2,13,363,20903,45659,0.16304925,3,8260,11.34,False,
calendar_free_slot,medium,mcp_guided,3,13,360,20903,45659,0.16300925,3,11027,14.12,False,
chat_search_read,medium,mcp_guided,1,14,447,21933,68376,0.1829842499999999,4,14104,17.3,False,
chat_search_read,medium,mcp_guided,2,14,449,21930,68374,0.1830145,4,13618,16.91,False,
chat_search_read,medium,mcp_guided,3,14,446,32588,57729,0.2442345,4,14423,17.63,False,
daily_briefing,complex,mcp_guided,1,14,912,21587,68742,0.19262975,4,30729,33.83,False,
daily_briefing,complex,mcp_guided,2,14,848,21838,68768,0.1926015,4,21418,24.33,False,
daily_briefing,complex,mcp_guided,3,14,833,21778,68755,0.191855,4,18251,21.28,False,
